Language_of_Literacy,Education,Locality,Sex,6-11,12-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
English,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,24,33,22,2,2,1,2,0,1,1,1,0,1,0,0,0,0
English,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,103,128,51,16,4,3,1,5,1,1,0,0,0,0,0,0,0
English,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,292,246,126,41,23,10,7,8,9,2,2,0,0,0,0,0,0
English,Tertiary - Master's Degree,Rural,Female,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Tertiary - Master's Degree,Rural,Male,0,0,0,0,1,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0
English,Tertiary - Master's Degree,Urban,Female,0,0,0,0,1,2,8,0,0,1,2,0,0,0,0,0,0,0,0,0
English,Tertiary - Master's Degree,Urban,Male,0,0,0,4,8,22,26,24,14,8,5,4,3,1,0,0,0,0,0,0
English,Tertiary - PhD,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Tertiary - PhD,Rural,Male,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Tertiary - PhD,Urban,Female,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
English,Tertiary - PhD,Urban,Male,0,0,0,0,1,1,2,3,1,2,1,1,0,0,1,0,0,0,0,0
English,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Other (specify),Rural,Male,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
English,Other (specify),Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Other (specify),Urban,Male,0,0,0,3,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0
French,Never attended,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Never attended,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Never attended,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Never attended,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Nursery,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Nursery,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Nursery,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Nursery,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Kindergarten,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Kindergarten,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Kindergarten,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Kindergarten,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Primary,Rural,Female,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Primary,Rural,Male,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Primary,Urban,Female,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Primary,Urban,Male,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,JSS/JHS,Rural,Female,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
