Rooms,Locality,Savelugu Municipal
One room,Rural,2110
One room,Urban,4123
Two rooms,Rural,1575
Two rooms,Urban,2869
Three rooms,Rural,1063
Three rooms,Urban,1852
Four rooms,Rural,856
Four rooms,Urban,1141
Five rooms,Rural,751
Five rooms,Urban,1153
Six rooms,Rural,450
Six rooms,Urban,737
Seven rooms,Rural,365
Seven rooms,Urban,500
Eight rooms,Rural,321
Eight rooms,Urban,442
Nine rooms and above,Rural,927
Nine rooms and above,Urban,1847
