Severity,Locality,Education,Sex,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Some difficulty in at least one domain,Rural,Tertiary - Bachelor's Degree,Male,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Tertiary - Bachelor's Degree,Female,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Tertiary - Post graduate Certificate/Diploma,Male,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Tertiary - Post graduate Certificate/Diploma,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Tertiary - Master's Degree,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Tertiary - Master's Degree,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Tertiary - PhD,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Tertiary - PhD,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Other (specify),Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Rural,Other (specify),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Never attended,Male,42,18,15,10,46,32,51,49,68,72,79,50,59,34,72,52,67,24,12,0,4
Some difficulty in at least one domain,Urban,Never attended,Female,39,37,18,13,60,79,115,111,157,120,112,80,125,78,145,89,104,49,15,7,6
Some difficulty in at least one domain,Urban,Nursery,Male,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Nursery,Female,15,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Kindergarten,Male,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Kindergarten,Female,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Primary,Male,129,90,6,4,8,10,7,2,8,1,3,3,3,3,0,1,1,0,2,0,0
Some difficulty in at least one domain,Urban,Primary,Female,107,109,3,5,8,11,4,2,5,3,2,1,1,0,1,0,0,0,1,0,0
Some difficulty in at least one domain,Urban,JSS/JHS,Male,0,17,41,9,15,12,14,9,5,4,2,1,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,JSS/JHS,Female,0,21,38,8,16,9,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Middle,Male,0,0,0,0,0,0,0,0,0,0,1,1,5,9,2,2,2,0,0,0,0
Some difficulty in at least one domain,Urban,Middle,Female,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,SSS/SHS,Male,0,0,20,43,76,15,14,9,11,11,1,0,0,0,0,0,0,0,0,0,0
