Severity,Locality,Education,Sex,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Some difficulty in at least one domain,Urban,Tertiary - Post graduate Certificate/Diploma,Female,0,0,0,0,8,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary - Master's Degree,Male,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary - Master's Degree,Female,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary - PhD,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary - PhD,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Other (specify),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Other (specify),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Never attended,Male,4,7,0,0,2,3,3,2,6,4,7,3,8,4,5,4,9,2,1,2,0
A lot of difficulty in at least one domain,Rural,Never attended,Female,2,3,3,4,3,3,3,10,4,4,5,2,3,1,7,11,12,4,3,0,0
A lot of difficulty in at least one domain,Rural,Nursery,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Nursery,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Kindergarten,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Kindergarten,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Primary,Male,2,3,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Primary,Female,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,JSS/JHS,Male,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,JSS/JHS,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Middle,Male,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Middle,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,SSS/SHS,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,SSS/SHS,Female,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Secondary,Male,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Secondary,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Voc/technical/commercial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Voc/technical/commercial,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Post middle/secondary Certificate,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A lot of difficulty in at least one domain,Rural,Post middle/secondary Certificate,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Post middle/secondary Diploma,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Post middle/secondary Diploma,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary/HND,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary/HND,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - Bachelor's Degree,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - Bachelor's Degree,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - Post graduate Certificate/Diploma,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - Post graduate Certificate/Diploma,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - Master's Degree,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - Master's Degree,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - PhD,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Tertiary - PhD,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Other (specify),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Rural,Other (specify),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Never attended,Male,8,5,3,1,3,2,2,4,5,9,9,6,11,3,4,5,7,2,0,1,0
A lot of difficulty in at least one domain,Urban,Never attended,Female,5,3,2,1,7,3,10,5,16,12,13,8,12,12,12,14,15,6,2,1,0
A lot of difficulty in at least one domain,Urban,Nursery,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Nursery,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Kindergarten,Male,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Kindergarten,Female,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Primary,Male,18,40,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Primary,Female,10,30,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,JSS/JHS,Male,0,2,15,5,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,JSS/JHS,Female,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Middle,Male,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
A lot of difficulty in at least one domain,Urban,Middle,Female,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,SSS/SHS,Male,0,0,0,5,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,SSS/SHS,Female,0,0,1,5,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Secondary,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Secondary,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A lot of difficulty in at least one domain,Urban,Voc/technical/commercial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Voc/technical/commercial,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Post middle/secondary Certificate,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Post middle/secondary Certificate,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Post middle/secondary Diploma,Male,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Post middle/secondary Diploma,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary/HND,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary/HND,Female,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - Bachelor's Degree,Male,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - Bachelor's Degree,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - Post graduate Certificate/Diploma,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - Post graduate Certificate/Diploma,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - Master's Degree,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - Master's Degree,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - PhD,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Tertiary - PhD,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Other (specify),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lot of difficulty in at least one domain,Urban,Other (specify),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
