Hearing,Education,Locality,Sex,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
No difficulty,SSS/SHS,Urban,Female,0,5,500,739,1453,499,197,71,37,13,2,0,0,0,0,0,0,0,0,0,0
No difficulty,Secondary,Rural,Male,0,0,1,3,3,4,2,1,4,4,10,4,7,6,3,0,0,0,0,0,0
No difficulty,Secondary,Rural,Female,0,0,0,1,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Secondary,Urban,Male,0,3,0,3,15,10,20,15,20,15,39,22,18,16,6,5,2,2,0,0,0
No difficulty,Secondary,Urban,Female,0,0,0,3,15,9,10,3,6,8,6,5,0,1,2,0,2,1,0,0,0
No difficulty,Voc/technical/commercial,Rural,Male,0,0,0,0,7,14,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Voc/technical/commercial,Rural,Female,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Voc/technical/commercial,Urban,Male,0,0,0,3,4,67,18,5,8,5,1,2,2,2,0,0,0,0,0,0,0
No difficulty,Voc/technical/commercial,Urban,Female,0,0,0,0,4,35,11,6,0,0,1,0,1,0,0,0,0,0,0,0,0
No difficulty,Post middle/secondary Certificate,Rural,Male,0,0,0,0,0,1,1,2,1,0,1,0,1,1,0,0,1,0,0,0,0
No difficulty,Post middle/secondary Certificate,Rural,Female,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Post middle/secondary Certificate,Urban,Male,0,0,0,1,13,15,17,8,4,3,1,7,3,5,2,1,0,0,0,0,0
No difficulty,Post middle/secondary Certificate,Urban,Female,0,0,0,4,6,8,16,1,3,3,1,2,3,0,0,0,0,0,0,0,0
No difficulty,Post middle/secondary Diploma,Rural,Male,0,0,1,0,13,12,17,5,3,1,1,1,1,1,1,1,0,0,0,0,0
