"Population (5 years and older) by Severity, Locality, Education, Geographic_Area, Sex and Age"

"Severity","Locality","Education","Geographic_Area","Sex","5-9","10-14","15-17","18-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"Cannot do at all in at least one domain","Urban","Nursery","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Nursery","Savelugu Municipal","Female",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Kindergarten","Savelugu Municipal","Male",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Kindergarten","Savelugu Municipal","Female",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Primary","Savelugu Municipal","Male",9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Primary","Savelugu Municipal","Female",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","JSS/JHS","Savelugu Municipal","Male",0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","JSS/JHS","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","SSS/SHS","Savelugu Municipal","Male",0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","SSS/SHS","Savelugu Municipal","Female",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Secondary","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Secondary","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Voc/technical/commercial","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Voc/technical/commercial","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Post middle/secondary Certificate","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Post middle/secondary Certificate","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Post middle/secondary Diploma","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Post middle/secondary Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary/HND","Savelugu Municipal","Male",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary/HND","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Male",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - Master's Degree","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - Master's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - PhD","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Tertiary - PhD","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Other (specify)","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Urban","Other (specify)","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Never attended","Savelugu Municipal","Male",1085,666,368,230,767,780,887,703,794,523,463,253,279,147,158,100,76,30,16,2,0
"No difficulty","Rural","Never attended","Savelugu Municipal","Female",1211,802,384,341,1396,1374,1466,1160,1041,642,490,251,305,124,149,100,97,22,11,1,3
"No difficulty","Rural","Nursery","Savelugu Municipal","Male",126,1,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Nursery","Savelugu Municipal","Female",110,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Kindergarten","Savelugu Municipal","Male",542,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Kindergarten","Savelugu Municipal","Female",477,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Primary","Savelugu Municipal","Male",1960,1820,85,69,125,109,65,59,36,21,15,5,6,4,1,1,3,0,0,0,0
"No difficulty","Rural","Primary","Savelugu Municipal","Female",1635,1396,66,49,151,83,54,24,12,4,5,0,1,1,0,0,0,0,0,0,0
"No difficulty","Rural","JSS/JHS","Savelugu Municipal","Male",0,327,759,208,255,161,140,90,45,27,15,2,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","JSS/JHS","Savelugu Municipal","Female",0,229,442,167,194,137,74,25,7,4,3,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,4,5,7,3,4,1,0,1,0,0,0,0
"No difficulty","Rural","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"No difficulty","Rural","SSS/SHS","Savelugu Municipal","Male",0,3,140,205,491,293,153,62,43,30,3,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","SSS/SHS","Savelugu Municipal","Female",0,3,106,122,272,115,31,11,4,4,1,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Secondary","Savelugu Municipal","Male",0,0,1,3,3,4,2,1,4,4,9,3,6,5,3,0,0,0,0,0,0
"No difficulty","Rural","Secondary","Savelugu Municipal","Female",0,0,0,1,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Voc/technical/commercial","Savelugu Municipal","Male",0,0,0,0,7,13,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0
