"Population (5 years and older) by Severity, Locality, Education, Geographic_Area, Sex and Age"

"Severity","Locality","Education","Geographic_Area","Sex","5-9","10-14","15-17","18-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"Some difficulty in at least one domain","Rural","Tertiary - Master's Degree","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary - Master's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary - PhD","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary - PhD","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Other (specify)","Savelugu Municipal","Male",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Other (specify)","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Never attended","Savelugu Municipal","Male",42,18,15,10,46,32,51,49,68,72,79,50,59,34,72,52,67,24,12,0,4
"Some difficulty in at least one domain","Urban","Never attended","Savelugu Municipal","Female",39,37,18,13,60,79,115,111,157,120,112,80,125,78,145,89,104,49,15,7,6
"Some difficulty in at least one domain","Urban","Nursery","Savelugu Municipal","Male",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Nursery","Savelugu Municipal","Female",15,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Kindergarten","Savelugu Municipal","Male",39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Kindergarten","Savelugu Municipal","Female",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Primary","Savelugu Municipal","Male",129,90,6,4,8,10,7,2,8,1,3,3,3,3,0,1,1,0,2,0,0
"Some difficulty in at least one domain","Urban","Primary","Savelugu Municipal","Female",107,109,3,5,8,11,4,2,5,3,2,1,1,0,1,0,0,0,1,0,0
"Some difficulty in at least one domain","Urban","JSS/JHS","Savelugu Municipal","Male",0,17,41,9,15,12,14,9,5,4,2,1,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","JSS/JHS","Savelugu Municipal","Female",0,21,38,8,16,9,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,1,1,5,9,2,2,2,0,0,0,0
"Some difficulty in at least one domain","Urban","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","SSS/SHS","Savelugu Municipal","Male",0,0,20,43,76,15,14,9,11,11,1,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","SSS/SHS","Savelugu Municipal","Female",0,1,41,74,95,11,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Secondary","Savelugu Municipal","Male",0,0,0,0,0,0,0,2,2,1,1,2,3,3,0,2,1,1,0,0,0
"Some difficulty in at least one domain","Urban","Secondary","Savelugu Municipal","Female",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Voc/technical/commercial","Savelugu Municipal","Male",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Voc/technical/commercial","Savelugu Municipal","Female",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Post middle/secondary Certificate","Savelugu Municipal","Male",0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Post middle/secondary Certificate","Savelugu Municipal","Female",0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Post middle/secondary Diploma","Savelugu Municipal","Male",0,0,0,0,0,2,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Post middle/secondary Diploma","Savelugu Municipal","Female",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary/HND","Savelugu Municipal","Male",0,0,0,0,11,4,5,0,1,2,0,1,1,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary/HND","Savelugu Municipal","Female",0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Male",0,0,0,0,2,2,1,2,3,1,3,1,3,1,0,1,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Male",0,0,0,0,19,14,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Female",0,0,0,0,8,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - Master's Degree","Savelugu Municipal","Male",0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - Master's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - PhD","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Tertiary - PhD","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Other (specify)","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Urban","Other (specify)","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Never attended","Savelugu Municipal","Male",4,7,0,0,2,3,3,2,6,4,7,3,8,4,5,4,9,2,1,2,0
"A lot of difficulty in at least one domain","Rural","Never attended","Savelugu Municipal","Female",2,3,3,4,3,3,3,10,4,4,5,2,3,1,7,11,12,4,3,0,0
"A lot of difficulty in at least one domain","Rural","Nursery","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Nursery","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Kindergarten","Savelugu Municipal","Male",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Kindergarten","Savelugu Municipal","Female",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Primary","Savelugu Municipal","Male",2,3,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Primary","Savelugu Municipal","Female",0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","JSS/JHS","Savelugu Municipal","Male",0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","JSS/JHS","Savelugu Municipal","Female",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","SSS/SHS","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","SSS/SHS","Savelugu Municipal","Female",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Secondary","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Secondary","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Voc/technical/commercial","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Voc/technical/commercial","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Post middle/secondary Certificate","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Post middle/secondary Certificate","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Post middle/secondary Diploma","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Post middle/secondary Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary/HND","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary/HND","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - Bachelor's Degree","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - Bachelor's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - Master's Degree","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - Master's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - PhD","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Tertiary - PhD","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Other (specify)","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Rural","Other (specify)","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Never attended","Savelugu Municipal","Male",8,5,3,1,3,2,2,4,5,9,9,6,11,3,4,5,7,2,0,1,0
"A lot of difficulty in at least one domain","Urban","Never attended","Savelugu Municipal","Female",5,3,2,1,7,3,10,5,16,12,13,8,12,12,12,14,15,6,2,1,0
"A lot of difficulty in at least one domain","Urban","Nursery","Savelugu Municipal","Male",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Nursery","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Kindergarten","Savelugu Municipal","Male",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Kindergarten","Savelugu Municipal","Female",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Primary","Savelugu Municipal","Male",18,40,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Primary","Savelugu Municipal","Female",10,30,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","JSS/JHS","Savelugu Municipal","Male",0,2,15,5,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","JSS/JHS","Savelugu Municipal","Female",0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","SSS/SHS","Savelugu Municipal","Male",0,0,0,5,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","SSS/SHS","Savelugu Municipal","Female",0,0,1,5,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Secondary","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Secondary","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"A lot of difficulty in at least one domain","Urban","Voc/technical/commercial","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Voc/technical/commercial","Savelugu Municipal","Female",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Post middle/secondary Certificate","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Post middle/secondary Certificate","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Post middle/secondary Diploma","Savelugu Municipal","Male",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Post middle/secondary Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary/HND","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary/HND","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Male",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Male",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - Master's Degree","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - Master's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - PhD","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Tertiary - PhD","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Other (specify)","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A lot of difficulty in at least one domain","Urban","Other (specify)","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
